[2020-09-29 10:28:29] my_logger.INFO: Not Allowed (404): GET /assets/frondend/default/recursos/fontawesome/webfonts/pro-fa-brands-400-5.0.3.eot IP 190.119.241.114 Analytics 5f73527ec5b7f [] []
[2020-09-29 10:28:29] my_logger.INFO: Not Allowed (404): GET /assets/frondend/default/recursos/fontawesome/webfonts/pro-fa-regular-400-5.6.3.eot IP 190.119.241.114 Analytics 5f73527ec5b7f [] []
[2020-09-29 10:28:30] my_logger.INFO: Not Allowed (404): GET /assets/frondend/default/recursos/fontawesome/webfonts/pro-fa-solid-900-5.11.0.eot IP 190.119.241.114 Analytics 5f73527ec5b7f [] []
[2020-09-29 10:28:30] my_logger.INFO: Not Allowed (404): GET /assets/frondend/default/recursos/fontawesome/webfonts/pro-fa-solid-900-5.0.3.eot IP 190.119.241.114 Analytics 5f73527ec5b7f [] []
[2020-09-29 10:28:30] my_logger.INFO: Not Allowed (404): GET /assets/frondend/default/recursos/fontawesome/webfonts/pro-fa-brands-400-5.12.0.eot IP 190.119.241.114 Analytics 5f73527ec5b7f [] []
[2020-09-29 10:28:30] my_logger.INFO: Not Allowed (404): GET /assets/frondend/default/recursos/fontawesome/webfonts/pro-fa-regular-400-5.0.1.eot IP 190.119.241.114 Analytics 5f73527ec5b7f [] []
[2020-09-29 10:28:30] my_logger.INFO: Not Allowed (404): GET /assets/frondend/default/recursos/fontawesome/webfonts/pro-fa-brands-400-5.0.1.eot IP 190.119.241.114 Analytics 5f73527ec5b7f [] []
[2020-09-29 10:28:30] my_logger.INFO: Not Allowed (404): GET /assets/frondend/default/recursos/fontawesome/webfonts/pro-fa-light-300-5.4.0.eot IP 190.119.241.114 Analytics 5f73527ec5b7f [] []
[2020-09-29 10:28:30] my_logger.INFO: Not Allowed (404): GET /assets/frondend/default/recursos/fontawesome/webfonts/pro-fa-brands-400-5.0.2.eot IP 190.119.241.114 Analytics 5f73527ec5b7f [] []
[2020-09-29 10:28:30] my_logger.INFO: Not Allowed (404): GET /assets/frondend/default/recursos/fontawesome/webfonts/pro-fa-brands-400-5.2.0.eot IP 190.119.241.114 Analytics 5f73527ec5b7f [] []
[2020-09-29 10:28:30] my_logger.INFO: Not Allowed (404): GET /assets/frondend/default/recursos/fontawesome/webfonts/pro-fa-light-300-5.0.13.woff IP 190.119.241.114 Analytics 5f73527ec5b7f [] []
[2020-09-29 10:28:30] my_logger.INFO: Not Allowed (404): GET /assets/frondend/default/recursos/fontawesome/webfonts/pro-fa-brands-400-5.0.10.eot IP 190.119.241.114 Analytics 5f73527ec5b7f [] []
[2020-09-29 10:28:30] my_logger.INFO: Not Allowed (404): GET /assets/frondend/default/recursos/fontawesome/webfonts/pro-fa-regular-400-5.0.11.eot IP 190.119.241.114 Analytics 5f73527ec5b7f [] []
[2020-09-29 10:28:30] my_logger.INFO: Not Allowed (404): GET /assets/frondend/default/recursos/fontawesome/webfonts/pro-fa-solid-900-5.11.2.eot IP 190.119.241.114 Analytics 5f73527ec5b7f [] []
[2020-09-29 10:28:30] my_logger.INFO: Not Allowed (404): GET /assets/frondend/default/recursos/fontawesome/webfonts/pro-fa-light-300-5.12.0.eot IP 190.119.241.114 Analytics 5f73527ec5b7f [] []
[2020-09-29 10:28:30] my_logger.INFO: Not Allowed (404): GET /assets/frondend/default/recursos/fontawesome/webfonts/pro-fa-solid-900-5.0.11.eot IP 190.119.241.114 Analytics 5f73527ec5b7f [] []
[2020-09-29 10:28:30] my_logger.INFO: Not Allowed (404): GET /assets/frondend/default/recursos/fontawesome/webfonts/pro-fa-brands-400-5.0.5.eot IP 190.119.241.114 Analytics 5f73527ec5b7f [] []
[2020-09-29 10:28:30] my_logger.INFO: Not Allowed (404): GET /assets/frondend/default/recursos/fontawesome/webfonts/pro-fa-regular-400-5.1.1.woff IP 190.119.241.114 Analytics 5f73527ec5b7f [] []
[2020-09-29 10:28:31] my_logger.INFO: Not Allowed (404): GET /assets/frondend/default/recursos/fontawesome/webfonts/pro-fa-regular-400-5.5.0.eot IP 190.119.241.114 Analytics 5f73527ec5b7f [] []
[2020-09-29 10:28:31] my_logger.INFO: Not Allowed (404): GET /assets/frondend/default/recursos/fontawesome/webfonts/pro-fa-light-300-5.11.0.eot IP 190.119.241.114 Analytics 5f73527ec5b7f [] []
[2020-09-29 10:28:31] my_logger.INFO: Not Allowed (404): GET /assets/frondend/default/recursos/fontawesome/webfonts/pro-fa-light-300-5.9.0.woff IP 190.119.241.114 Analytics 5f73527ec5b7f [] []
[2020-09-29 10:28:31] my_logger.INFO: Not Allowed (404): GET /assets/frondend/default/recursos/fontawesome/webfonts/pro-fa-solid-900-5.12.0.eot IP 190.119.241.114 Analytics 5f73527ec5b7f [] []
[2020-09-29 10:28:31] my_logger.INFO: Not Allowed (404): GET /assets/frondend/default/recursos/fontawesome/webfonts/pro-fa-brands-400-5.3.0.eot IP 190.119.241.114 Analytics 5f73527ec5b7f [] []
[2020-09-29 10:28:31] my_logger.INFO: Not Allowed (404): GET /assets/frondend/default/recursos/fontawesome/webfonts/pro-fa-light-300-5.0.7.woff IP 190.119.241.114 Analytics 5f73527ec5b7f [] []
[2020-09-29 10:28:31] my_logger.INFO: Not Allowed (404): GET /assets/frondend/default/recursos/fontawesome/webfonts/pro-fa-regular-400-5.7.0.woff IP 190.119.241.114 Analytics 5f73527ec5b7f [] []
[2020-09-29 10:28:31] my_logger.INFO: Not Allowed (404): GET /assets/frondend/default/recursos/fontawesome/webfonts/pro-fa-regular-400-5.0.5.woff IP 190.119.241.114 Analytics 5f73527ec5b7f [] []
[2020-09-29 10:28:31] my_logger.INFO: Not Allowed (404): GET /assets/frondend/default/recursos/fontawesome/webfonts/pro-fa-solid-900-5.7.1.eot IP 190.119.241.114 Analytics 5f73527ec5b7f [] []
[2020-09-29 10:28:31] my_logger.INFO: Not Allowed (404): GET /assets/frondend/default/recursos/fontawesome/webfonts/pro-fa-light-300-5.4.1.eot IP 190.119.241.114 Analytics 5f73527ec5b7f [] []
[2020-09-29 10:28:31] my_logger.INFO: Not Allowed (404): GET /assets/frondend/default/recursos/fontawesome/webfonts/pro-fa-solid-900-5.11.1.eot IP 190.119.241.114 Analytics 5f73527ec5b7f [] []
[2020-09-29 10:28:31] my_logger.INFO: Not Allowed (404): GET /assets/frondend/default/recursos/fontawesome/webfonts/pro-fa-light-300-5.1.0.woff IP 190.119.241.114 Analytics 5f73527ec5b7f [] []
[2020-09-29 10:28:31] my_logger.INFO: Not Allowed (404): GET /assets/frondend/default/recursos/fontawesome/webfonts/pro-fa-regular-400-5.11.2.eot IP 190.119.241.114 Analytics 5f73527ec5b7f [] []
[2020-09-29 10:28:31] my_logger.INFO: Not Allowed (404): GET /assets/frondend/default/recursos/fontawesome/webfonts/pro-fa-light-300-5.6.3.woff IP 190.119.241.114 Analytics 5f73527ec5b7f [] []
[2020-09-29 10:28:31] my_logger.INFO: Not Allowed (404): GET /assets/frondend/default/recursos/fontawesome/webfonts/pro-fa-regular-400-5.8.0.eot IP 190.119.241.114 Analytics 5f73527ec5b7f [] []
[2020-09-29 10:28:31] my_logger.INFO: Not Allowed (404): GET /assets/frondend/default/recursos/fontawesome/webfonts/pro-fa-brands-400-5.11.2.eot IP 190.119.241.114 Analytics 5f73527ec5b7f [] []
[2020-09-29 10:28:31] my_logger.INFO: Not Allowed (404): GET /assets/frondend/default/recursos/fontawesome/webfonts/pro-fa-regular-400-5.0.7.woff IP 190.119.241.114 Analytics 5f73527ec5b7f [] []
[2020-09-29 10:28:32] my_logger.INFO: Not Allowed (404): GET /assets/frondend/default/recursos/fontawesome/webfonts/pro-fa-regular-400-5.4.1.woff IP 190.119.241.114 Analytics 5f73527ec5b7f [] []
[2020-09-29 10:28:32] my_logger.INFO: Not Allowed (404): GET /assets/frondend/default/recursos/fontawesome/webfonts/pro-fa-brands-400-5.8.1.eot IP 190.119.241.114 Analytics 5f73527ec5b7f [] []
[2020-09-29 10:28:32] my_logger.INFO: Not Allowed (404): GET /assets/frondend/default/recursos/fontawesome/webfonts/pro-fa-brands-400-5.4.0.eot IP 190.119.241.114 Analytics 5f73527ec5b7f [] []
[2020-09-29 10:28:32] my_logger.INFO: Not Allowed (404): GET /assets/frondend/default/recursos/fontawesome/webfonts/pro-fa-light-300-5.2.0.woff IP 190.119.241.114 Analytics 5f73527ec5b7f [] []
[2020-09-29 10:28:32] my_logger.INFO: Not Allowed (404): GET /assets/frondend/default/recursos/fontawesome/webfonts/pro-fa-brands-400-5.6.0.eot IP 190.119.241.114 Analytics 5f73527ec5b7f [] []
[2020-09-29 10:28:32] my_logger.INFO: Not Allowed (404): GET /assets/frondend/default/recursos/fontawesome/webfonts/pro-fa-regular-400-5.0.9.woff IP 190.119.241.114 Analytics 5f73527ec5b7f [] []
[2020-09-29 10:28:32] my_logger.INFO: Not Allowed (404): GET /assets/frondend/default/recursos/fontawesome/webfonts/pro-fa-light-300-5.7.0.woff IP 190.119.241.114 Analytics 5f73527ec5b7f [] []
[2020-09-29 10:28:32] my_logger.INFO: Not Allowed (404): GET /assets/frondend/default/recursos/fontawesome/webfonts/pro-fa-light-300-5.8.0.woff IP 190.119.241.114 Analytics 5f73527ec5b7f [] []
[2020-09-29 10:28:32] my_logger.INFO: Not Allowed (404): GET /assets/frondend/default/recursos/fontawesome/webfonts/pro-fa-light-300-5.0.1.woff IP 190.119.241.114 Analytics 5f73527ec5b7f [] []
[2020-09-29 10:28:32] my_logger.INFO: Not Allowed (404): GET /assets/frondend/default/recursos/fontawesome/webfonts/pro-fa-regular-400-5.0.10.woff IP 190.119.241.114 Analytics 5f73527ec5b7f [] []
[2020-09-29 10:28:32] my_logger.INFO: Not Allowed (404): GET /assets/frondend/default/recursos/fontawesome/webfonts/pro-fa-light-300-5.0.11.woff IP 190.119.241.114 Analytics 5f73527ec5b7f [] []
[2020-09-29 10:28:32] my_logger.INFO: Not Allowed (404): GET /assets/frondend/default/recursos/fontawesome/webfonts/pro-fa-light-300-5.0.9.woff IP 190.119.241.114 Analytics 5f73527ec5b7f [] []
[2020-09-29 10:28:32] my_logger.INFO: Not Allowed (404): GET /assets/frondend/default/recursos/fontawesome/webfonts/pro-fa-brands-400-5.0.11.eot IP 190.119.241.114 Analytics 5f73527ec5b7f [] []
[2020-09-29 10:28:32] my_logger.INFO: Not Allowed (404): GET /assets/frondend/default/recursos/fontawesome/webfonts/pro-fa-light-300-5.10.2.woff IP 190.119.241.114 Analytics 5f73527ec5b7f [] []
[2020-09-29 10:28:32] my_logger.INFO: Not Allowed (404): GET /assets/frondend/default/recursos/fontawesome/webfonts/pro-fa-light-300-5.0.0.woff IP 190.119.241.114 Analytics 5f73527ec5b7f [] []
[2020-09-29 10:28:32] my_logger.INFO: Not Allowed (404): GET /assets/frondend/default/recursos/fontawesome/webfonts/pro-fa-regular-400-5.0.13.woff IP 190.119.241.114 Analytics 5f73527ec5b7f [] []
[2020-09-29 10:28:32] my_logger.INFO: Not Allowed (404): GET /assets/frondend/default/recursos/fontawesome/webfonts/pro-fa-light-300-5.0.10.woff IP 190.119.241.114 Analytics 5f73527ec5b7f [] []
[2020-09-29 10:28:33] my_logger.INFO: Not Allowed (404): GET /assets/frondend/default/recursos/fontawesome/webfonts/pro-fa-light-300-5.0.5.woff IP 190.119.241.114 Analytics 5f73527ec5b7f [] []
[2020-09-29 10:28:33] my_logger.INFO: Not Allowed (404): GET /assets/frondend/default/recursos/fontawesome/webfonts/pro-fa-brands-400-5.7.0.eot IP 190.119.241.114 Analytics 5f73527ec5b7f [] []
[2020-09-29 10:28:33] my_logger.INFO: Not Allowed (404): GET /assets/frondend/default/recursos/fontawesome/webfonts/pro-fa-regular-400-5.10.2.woff IP 190.119.241.114 Analytics 5f73527ec5b7f [] []
[2020-09-29 10:28:33] my_logger.INFO: Not Allowed (404): GET /assets/frondend/default/recursos/fontawesome/webfonts/pro-fa-regular-400-5.10.1.woff IP 190.119.241.114 Analytics 5f73527ec5b7f [] []
[2020-09-29 10:28:33] my_logger.INFO: Not Allowed (404): GET /assets/frondend/default/recursos/fontawesome/webfonts/pro-fa-solid-900-5.0.0.woff IP 190.119.241.114 Analytics 5f73527ec5b7f [] []
[2020-09-29 10:28:33] my_logger.INFO: Not Allowed (404): GET /assets/frondend/default/recursos/fontawesome/webfonts/pro-fa-regular-400-5.6.1.woff IP 190.119.241.114 Analytics 5f73527ec5b7f [] []
[2020-09-29 10:28:33] my_logger.INFO: Not Allowed (404): GET /assets/frondend/default/recursos/fontawesome/webfonts/pro-fa-regular-400-5.6.0.eot IP 190.119.241.114 Analytics 5f73527ec5b7f [] []
[2020-09-29 10:28:33] my_logger.INFO: Not Allowed (404): GET /assets/frondend/default/recursos/fontawesome/webfonts/pro-fa-solid-900-5.0.7.woff IP 190.119.241.114 Analytics 5f73527ec5b7f [] []
[2020-09-29 10:28:33] my_logger.INFO: Not Allowed (404): GET /assets/frondend/default/recursos/fontawesome/webfonts/pro-fa-regular-400-5.8.2.eot IP 190.119.241.114 Analytics 5f73527ec5b7f [] []
[2020-09-29 10:28:33] my_logger.INFO: Not Allowed (404): GET /assets/frondend/default/recursos/fontawesome/webfonts/pro-fa-light-300-5.10.1.woff IP 190.119.241.114 Analytics 5f73527ec5b7f [] []
[2020-09-29 10:28:33] my_logger.INFO: Not Allowed (404): GET /assets/frondend/default/recursos/fontawesome/webfonts/pro-fa-regular-400-5.3.0.woff IP 190.119.241.114 Analytics 5f73527ec5b7f [] []
[2020-09-29 10:28:33] my_logger.INFO: Not Allowed (404): GET /assets/frondend/default/recursos/fontawesome/webfonts/pro-fa-regular-400-5.12.0.woff IP 190.119.241.114 Analytics 5f73527ec5b7f [] []
[2020-09-29 10:28:33] my_logger.INFO: Not Allowed (404): GET /assets/frondend/default/recursos/fontawesome/webfonts/pro-fa-solid-900-5.6.3.woff IP 190.119.241.114 Analytics 5f73527ec5b7f [] []
[2020-09-29 10:28:33] my_logger.INFO: Not Allowed (404): GET /assets/frondend/default/recursos/fontawesome/webfonts/pro-fa-light-300-5.7.1.woff IP 190.119.241.114 Analytics 5f73527ec5b7f [] []
[2020-09-29 10:28:33] my_logger.INFO: Not Allowed (404): GET /assets/frondend/default/recursos/fontawesome/webfonts/pro-fa-regular-400-5.12.1.woff IP 190.119.241.114 Analytics 5f73527ec5b7f [] []
[2020-09-29 10:28:33] my_logger.INFO: Not Allowed (404): GET /assets/frondend/default/recursos/fontawesome/webfonts/pro-fa-solid-900-5.4.0.woff IP 190.119.241.114 Analytics 5f73527ec5b7f [] []
[2020-09-29 10:28:33] my_logger.INFO: Not Allowed (404): GET /assets/frondend/default/recursos/fontawesome/webfonts/pro-fa-solid-900-5.10.1.woff IP 190.119.241.114 Analytics 5f73527ec5b7f [] []
[2020-09-29 10:28:34] my_logger.INFO: Not Allowed (404): GET /assets/frondend/default/recursos/fontawesome/webfonts/pro-fa-solid-900-5.2.0.eot IP 190.119.241.114 Analytics 5f73527ec5b7f [] []
[2020-09-29 10:28:34] my_logger.INFO: Not Allowed (404): GET /assets/frondend/default/recursos/fontawesome/webfonts/pro-fa-light-300-5.13.0.woff IP 190.119.241.114 Analytics 5f73527ec5b7f [] []
[2020-09-29 10:28:34] my_logger.INFO: Not Allowed (404): GET /assets/frondend/default/recursos/fontawesome/webfonts/pro-fa-regular-400-5.0.0.woff IP 190.119.241.114 Analytics 5f73527ec5b7f [] []
[2020-09-29 10:28:34] my_logger.INFO: Not Allowed (404): GET /assets/frondend/default/recursos/fontawesome/webfonts/pro-fa-light-300-5.0.3.woff IP 190.119.241.114 Analytics 5f73527ec5b7f [] []
[2020-09-29 10:28:34] my_logger.INFO: Not Allowed (404): GET /assets/frondend/default/recursos/fontawesome/webfonts/pro-fa-brands-400-5.12.1.eot IP 190.119.241.114 Analytics 5f73527ec5b7f [] []
[2020-09-29 10:28:34] my_logger.INFO: Not Allowed (404): GET /assets/frondend/default/recursos/fontawesome/webfonts/pro-fa-light-300-5.8.2.woff IP 190.119.241.114 Analytics 5f73527ec5b7f [] []
[2020-09-29 10:28:34] my_logger.INFO: Not Allowed (404): GET /assets/frondend/default/recursos/fontawesome/webfonts/pro-fa-solid-900-5.10.2.woff IP 190.119.241.114 Analytics 5f73527ec5b7f [] []
[2020-09-29 10:28:34] my_logger.INFO: Not Allowed (404): GET /assets/frondend/default/recursos/fontawesome/webfonts/pro-fa-solid-900-5.13.0.woff IP 190.119.241.114 Analytics 5f73527ec5b7f [] []
[2020-09-29 10:28:34] my_logger.INFO: Not Allowed (404): GET /assets/frondend/default/recursos/fontawesome/webfonts/pro-fa-brands-400-5.8.0.woff IP 190.119.241.114 Analytics 5f73527ec5b7f [] []
[2020-09-29 10:28:34] my_logger.INFO: Not Allowed (404): GET /assets/frondend/default/recursos/fontawesome/webfonts/pro-fa-solid-900-5.0.13.woff IP 190.119.241.114 Analytics 5f73527ec5b7f [] []
[2020-09-29 10:28:34] my_logger.INFO: Not Allowed (404): GET /assets/frondend/default/recursos/fontawesome/webfonts/pro-fa-solid-900-5.5.0.woff IP 190.119.241.114 Analytics 5f73527ec5b7f [] []
[2020-09-29 10:28:34] my_logger.INFO: Not Allowed (404): GET /assets/frondend/default/recursos/fontawesome/webfonts/pro-fa-regular-400-5.4.0.woff IP 190.119.241.114 Analytics 5f73527ec5b7f [] []
[2020-09-29 10:28:34] my_logger.INFO: Not Allowed (404): GET /assets/frondend/default/recursos/fontawesome/webfonts/pro-fa-solid-900-5.1.0.woff IP 190.119.241.114 Analytics 5f73527ec5b7f [] []
[2020-09-29 10:28:34] my_logger.INFO: Not Allowed (404): GET /assets/frondend/default/recursos/fontawesome/webfonts/pro-fa-light-300-5.5.0.woff IP 190.119.241.114 Analytics 5f73527ec5b7f [] []
[2020-09-29 10:28:34] my_logger.INFO: Not Allowed (404): GET /assets/frondend/default/recursos/fontawesome/webfonts/pro-fa-light-300-5.11.1.woff IP 190.119.241.114 Analytics 5f73527ec5b7f [] []
[2020-09-29 10:28:34] my_logger.INFO: Not Allowed (404): GET /assets/frondend/default/recursos/fontawesome/webfonts/pro-fa-solid-900-5.0.10.woff IP 190.119.241.114 Analytics 5f73527ec5b7f [] []
[2020-09-29 10:28:34] my_logger.INFO: Not Allowed (404): GET /assets/frondend/default/recursos/fontawesome/webfonts/pro-fa-light-300-5.6.0.woff IP 190.119.241.114 Analytics 5f73527ec5b7f [] []
[2020-09-29 10:28:34] my_logger.INFO: Not Allowed (404): GET /assets/frondend/default/recursos/fontawesome/webfonts/pro-fa-brands-400-5.8.2.eot IP 190.119.241.114 Analytics 5f73527ec5b7f [] []
[2020-09-29 10:28:35] my_logger.INFO: Not Allowed (404): GET /assets/frondend/default/recursos/fontawesome/webfonts/pro-fa-solid-900-5.6.0.woff IP 190.119.241.114 Analytics 5f73527ec5b7f [] []
[2020-09-29 10:28:35] my_logger.INFO: Not Allowed (404): GET /assets/frondend/default/recursos/fontawesome/webfonts/pro-fa-regular-400-5.13.0.woff IP 190.119.241.114 Analytics 5f73527ec5b7f [] []
[2020-09-29 10:28:35] my_logger.INFO: Not Allowed (404): GET /assets/frondend/default/recursos/fontawesome/webfonts/pro-fa-regular-400-5.9.0.woff IP 190.119.241.114 Analytics 5f73527ec5b7f [] []
[2020-09-29 10:28:35] my_logger.INFO: Not Allowed (404): GET /assets/frondend/default/recursos/fontawesome/webfonts/pro-fa-light-300-5.3.0.woff IP 190.119.241.114 Analytics 5f73527ec5b7f [] []
[2020-09-29 10:28:35] my_logger.INFO: Not Allowed (404): GET /assets/frondend/default/recursos/fontawesome/webfonts/pro-fa-light-300-5.12.1.woff IP 190.119.241.114 Analytics 5f73527ec5b7f [] []
[2020-09-29 10:28:35] my_logger.INFO: Not Allowed (404): GET /assets/frondend/default/recursos/fontawesome/webfonts/pro-fa-solid-900-5.8.2.woff IP 190.119.241.114 Analytics 5f73527ec5b7f [] []
[2020-09-29 10:28:35] my_logger.INFO: Not Allowed (404): GET /assets/frondend/default/recursos/fontawesome/webfonts/pro-fa-solid-900-5.0.3.woff IP 190.119.241.114 Analytics 5f73527ec5b7f [] []
[2020-09-29 10:28:35] my_logger.INFO: Not Allowed (404): GET /assets/frondend/default/recursos/fontawesome/webfonts/pro-fa-solid-900-5.6.1.woff IP 190.119.241.114 Analytics 5f73527ec5b7f [] []
[2020-09-29 10:28:35] my_logger.INFO: Not Allowed (404): GET /assets/frondend/default/recursos/fontawesome/webfonts/pro-fa-regular-400-5.7.1.woff IP 190.119.241.114 Analytics 5f73527ec5b7f [] []
[2020-09-29 10:28:35] my_logger.INFO: Not Allowed (404): GET /assets/frondend/default/recursos/fontawesome/webfonts/pro-fa-brands-400-5.0.3.woff IP 190.119.241.114 Analytics 5f73527ec5b7f [] []
[2020-09-29 10:28:35] my_logger.INFO: Not Allowed (404): GET /assets/frondend/default/recursos/fontawesome/webfonts/pro-fa-brands-400-5.0.12.woff IP 190.119.241.114 Analytics 5f73527ec5b7f [] []
[2020-09-29 10:28:35] my_logger.INFO: Not Allowed (404): GET /assets/frondend/default/recursos/fontawesome/webfonts/pro-fa-solid-900-5.0.11.woff IP 190.119.241.114 Analytics 5f73527ec5b7f [] []
[2020-09-29 10:28:35] my_logger.INFO: Not Allowed (404): GET /assets/frondend/default/recursos/fontawesome/webfonts/pro-fa-solid-900-5.0.1.eot IP 190.119.241.114 Analytics 5f73527ec5b7f [] []
[2020-09-29 10:28:35] my_logger.INFO: Not Allowed (404): GET /assets/frondend/default/recursos/fontawesome/webfonts/pro-fa-solid-900-5.3.0.woff IP 190.119.241.114 Analytics 5f73527ec5b7f [] []
[2020-09-29 10:28:35] my_logger.INFO: Not Allowed (404): GET /assets/frondend/default/recursos/fontawesome/webfonts/pro-fa-solid-900-5.7.0.woff IP 190.119.241.114 Analytics 5f73527ec5b7f [] []
[2020-09-29 10:28:35] my_logger.INFO: Not Allowed (404): GET /assets/frondend/default/recursos/fontawesome/webfonts/pro-fa-brands-400-5.0.0.woff IP 190.119.241.114 Analytics 5f73527ec5b7f [] []
[2020-09-29 10:28:36] my_logger.INFO: Not Allowed (404): GET /assets/frondend/default/recursos/fontawesome/webfonts/pro-fa-solid-900-5.1.1.woff IP 190.119.241.114 Analytics 5f73527ec5b7f [] []
[2020-09-29 10:28:36] my_logger.INFO: Not Allowed (404): GET /assets/frondend/default/recursos/fontawesome/webfonts/pro-fa-solid-900-5.4.1.woff IP 190.119.241.114 Analytics 5f73527ec5b7f [] []
[2020-09-29 10:28:36] my_logger.INFO: Not Allowed (404): GET /assets/frondend/default/recursos/fontawesome/webfonts/pro-fa-regular-400-5.0.11.woff IP 190.119.241.114 Analytics 5f73527ec5b7f [] []
[2020-09-29 10:28:36] my_logger.INFO: Not Allowed (404): GET /assets/frondend/default/recursos/fontawesome/webfonts/pro-fa-regular-400-5.7.0.ttf IP 190.119.241.114 Analytics 5f73527ec5b7f [] []
[2020-09-29 10:28:36] my_logger.INFO: Not Allowed (404): GET /assets/frondend/default/recursos/fontawesome/webfonts/pro-fa-light-300-5.11.0.woff IP 190.119.241.114 Analytics 5f73527ec5b7f [] []
[2020-09-29 10:28:36] my_logger.INFO: Not Allowed (404): GET /assets/frondend/default/recursos/fontawesome/webfonts/pro-fa-light-300-5.6.1.woff IP 190.119.241.114 Analytics 5f73527ec5b7f [] []
[2020-09-29 10:28:36] my_logger.INFO: Not Allowed (404): GET /assets/frondend/default/recursos/fontawesome/webfonts/pro-fa-brands-400-5.12.0.woff IP 190.119.241.114 Analytics 5f73527ec5b7f [] []
[2020-09-29 10:28:36] my_logger.INFO: Not Allowed (404): GET /assets/frondend/default/recursos/fontawesome/webfonts/pro-fa-solid-900-5.9.0.woff IP 190.119.241.114 Analytics 5f73527ec5b7f [] []
[2020-09-29 10:28:36] my_logger.INFO: Not Allowed (404): GET /assets/frondend/default/recursos/fontawesome/webfonts/pro-fa-regular-400-5.0.1.woff IP 190.119.241.114 Analytics 5f73527ec5b7f [] []
[2020-09-29 10:28:36] my_logger.INFO: Not Allowed (404): GET /assets/frondend/default/recursos/fontawesome/webfonts/pro-fa-brands-400-5.9.0.woff IP 190.119.241.114 Analytics 5f73527ec5b7f [] []
[2020-09-29 10:28:36] my_logger.INFO: Not Allowed (404): GET /assets/frondend/default/recursos/fontawesome/webfonts/pro-fa-solid-900-5.8.0.woff IP 190.119.241.114 Analytics 5f73527ec5b7f [] []
[2020-09-29 10:28:36] my_logger.INFO: Not Allowed (404): GET /assets/frondend/default/recursos/fontawesome/webfonts/pro-fa-brands-400-5.0.10.woff IP 190.119.241.114 Analytics 5f73527ec5b7f [] []
[2020-09-29 10:28:36] my_logger.INFO: Not Allowed (404): GET /assets/frondend/default/recursos/fontawesome/webfonts/pro-fa-solid-900-5.0.5.woff IP 190.119.241.114 Analytics 5f73527ec5b7f [] []
[2020-09-29 10:28:36] my_logger.INFO: Not Allowed (404): GET /assets/frondend/default/recursos/fontawesome/webfonts/pro-fa-light-300-5.12.0.woff IP 190.119.241.114 Analytics 5f73527ec5b7f [] []
[2020-09-29 10:28:36] my_logger.INFO: Not Allowed (404): GET /assets/frondend/default/recursos/fontawesome/webfonts/pro-fa-regular-400-5.1.0.woff IP 190.119.241.114 Analytics 5f73527ec5b7f [] []
[2020-09-29 10:28:36] my_logger.INFO: Not Allowed (404): GET /assets/frondend/default/recursos/fontawesome/webfonts/pro-fa-brands-400-5.0.2.woff IP 190.119.241.114 Analytics 5f73527ec5b7f [] []
[2020-09-29 10:28:36] my_logger.INFO: Not Allowed (404): GET /assets/frondend/default/recursos/fontawesome/webfonts/pro-fa-solid-900-5.0.9.woff IP 190.119.241.114 Analytics 5f73527ec5b7f [] []
[2020-09-29 10:28:37] my_logger.INFO: Not Allowed (404): GET /assets/frondend/default/recursos/fontawesome/webfonts/pro-fa-light-300-5.11.2.woff IP 190.119.241.114 Analytics 5f73527ec5b7f [] []
[2020-09-29 10:28:37] my_logger.INFO: Not Allowed (404): GET /assets/frondend/default/recursos/fontawesome/webfonts/pro-fa-solid-900-5.11.1.woff IP 190.119.241.114 Analytics 5f73527ec5b7f [] []
[2020-09-29 10:28:37] my_logger.INFO: Not Allowed (404): GET /assets/frondend/default/recursos/fontawesome/webfonts/pro-fa-light-300-5.0.7.ttf IP 190.119.241.114 Analytics 5f73527ec5b7f [] []
[2020-09-29 10:28:37] my_logger.INFO: Not Allowed (404): GET /assets/frondend/default/recursos/fontawesome/webfonts/pro-fa-brands-400-5.0.1.woff IP 190.119.241.114 Analytics 5f73527ec5b7f [] []
[2020-09-29 10:28:37] my_logger.INFO: Not Allowed (404): GET /assets/frondend/default/recursos/fontawesome/webfonts/pro-fa-light-300-5.4.1.woff IP 190.119.241.114 Analytics 5f73527ec5b7f [] []
[2020-09-29 10:28:37] my_logger.INFO: Not Allowed (404): GET /assets/frondend/default/recursos/fontawesome/webfonts/pro-fa-solid-900-5.7.1.woff IP 190.119.241.114 Analytics 5f73527ec5b7f [] []
[2020-09-29 10:28:37] my_logger.INFO: Not Allowed (404): GET /assets/frondend/default/recursos/fontawesome/webfonts/pro-fa-light-300-5.1.1.woff IP 190.119.241.114 Analytics 5f73527ec5b7f [] []
[2020-09-29 10:28:37] my_logger.INFO: Not Allowed (404): GET /assets/frondend/default/recursos/fontawesome/webfonts/pro-fa-regular-400-5.6.3.woff IP 190.119.241.114 Analytics 5f73527ec5b7f [] []
[2020-09-29 10:28:37] my_logger.INFO: Not Allowed (404): GET /assets/frondend/default/recursos/fontawesome/webfonts/pro-fa-brands-400-5.11.0.woff IP 190.119.241.114 Analytics 5f73527ec5b7f [] []
